,time,open,high,low,close,tick_volume,spread,real_volume
0,2004-01-01 00:00:00,191.23,191.52,191.02,191.08,142,100,0
1,2004-01-01 04:00:00,191.47,191.66,191.07,191.31,895,100,0
2,2004-01-01 08:00:00,191.3,191.98,191.06,191.51,885,100,0
3,2004-01-01 12:00:00,191.47,191.71,190.91,191.57,763,100,0
4,2004-01-01 16:00:00,191.3,191.81,191.07,191.63,1131,100,0
5,2004-01-01 20:00:00,191.78,191.78,191.02,191.38,1645,100,0
6,2004-01-02 00:00:00,191.11,191.81,190.91,190.98,2253,100,0
7,2004-01-02 04:00:00,191.01,191.06,190.27,190.75,2071,100,0
8,2004-01-02 08:00:00,190.73,191.44,190.27,191.18,2649,100,0
9,2004-01-02 12:00:00,191.18,191.53,190.52,191.42,2588,100,0
10,2004-01-02 16:00:00,191.48,191.96,191.17,191.63,2591,100,0
11,2004-01-02 20:00:00,191.62,192.38,191.58,192.26,1621,100,0
12,2004-01-05 00:00:00,192.03,192.73,191.77,191.99,1800,100,0
13,2004-01-05 04:00:00,192.04,192.24,191.89,192.02,1629,100,0
14,2004-01-05 08:00:00,192.03,192.57,190.99,191.12,3357,100,0
15,2004-01-05 12:00:00,191.1,191.9,191.02,191.81,3003,100,0
16,2004-01-05 16:00:00,191.81,192.11,191.53,191.76,2605,100,0
17,2004-01-05 20:00:00,191.77,192.06,191.59,191.98,1901,100,0
18,2004-01-06 00:00:00,192.06,192.19,191.61,191.85,1469,100,0
19,2004-01-06 04:00:00,191.87,192.33,191.7,192.29,1513,100,0
20,2004-01-06 08:00:00,192.26,193.62,192.07,193.34,2758,100,0
21,2004-01-06 12:00:00,193.36,194.24,193.17,193.58,3323,100,0
22,2004-01-06 16:00:00,193.59,193.89,193.35,193.74,2865,100,0
23,2004-01-06 20:00:00,193.71,193.91,193.33,193.4,2177,100,0
24,2004-01-07 00:00:00,193.35,193.61,193.11,193.32,1833,100,0
25,2004-01-07 04:00:00,193.33,193.65,193.27,193.47,1593,100,0
26,2004-01-07 08:00:00,193.44,194.0,192.55,192.82,2814,100,0
27,2004-01-07 12:00:00,192.8,193.4,192.39,193.23,2520,100,0
28,2004-01-07 16:00:00,193.2,193.49,192.89,193.18,2285,100,0
29,2004-01-07 20:00:00,193.19,193.36,192.89,193.06,2058,100,0
30,2004-01-08 00:00:00,193.05,193.33,192.44,192.51,2000,100,0
31,2004-01-08 04:00:00,192.51,192.96,192.44,192.9,1848,100,0
32,2004-01-08 08:00:00,192.9,193.11,192.18,192.36,2502,100,0
33,2004-01-08 12:00:00,192.35,194.54,192.16,194.24,3322,100,0
34,2004-01-08 16:00:00,194.2,194.97,194.0,194.62,3032,100,0
35,2004-01-08 20:00:00,194.61,194.93,194.36,194.8,2019,100,0
36,2004-01-09 00:00:00,194.84,194.94,194.47,194.63,1902,100,0
37,2004-01-09 04:00:00,194.64,198.23,194.57,196.05,2751,100,0
38,2004-01-09 08:00:00,196.05,196.22,195.16,195.91,2873,100,0
39,2004-01-09 12:00:00,195.9,196.53,195.64,196.12,3483,100,0
40,2004-01-09 16:00:00,196.11,197.15,195.91,196.45,3580,100,0
41,2004-01-09 20:00:00,196.47,197.75,196.24,197.64,1706,100,0
42,2004-01-12 00:00:00,196.97,197.13,196.5,196.71,1687,100,0
43,2004-01-12 04:00:00,196.72,196.79,196.44,196.58,1468,100,0
44,2004-01-12 08:00:00,196.61,197.85,196.4,197.14,2639,100,0
45,2004-01-12 12:00:00,197.14,197.75,196.81,197.1,2955,100,0
46,2004-01-12 16:00:00,197.07,197.46,196.69,196.71,2965,100,0
47,2004-01-12 20:00:00,196.73,197.19,196.55,196.85,2183,100,0
48,2004-01-13 00:00:00,196.87,197.04,196.26,196.94,1866,100,0
49,2004-01-13 04:00:00,196.94,197.22,196.77,196.94,1748,100,0
50,2004-01-13 08:00:00,196.95,197.04,196.02,196.33,2886,100,0
51,2004-01-13 12:00:00,196.34,197.06,196.2,196.34,2856,100,0
52,2004-01-13 16:00:00,196.32,196.78,195.52,195.72,3238,100,0
